Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
531157,ORGCOAT,ORGANIC COATINGS LTD.,Active,XD,10.00,INE412E01011,Specialty Chemicals,Equity
531158,CATVISION,Catvision Limited,Active,XD,10.00,INE660B01011,Comm.Trading  &amp; Distribution,Equity
531160,SAUMYACAP,Saumya Capital Limited,Active,XD,10.00,INE365L01016,Misc.Commercial Services,Equity
531161,ABMKNO,ABM KNOWLEDGEWARE LTD.,Active,B ,10.00,INE850B01018,IT Software Products,Equity
531162,EMAMILTD,EMAMI LTD.-$,Active,A ,1.00,INE548C01032,Personal Products,Equity
531164,LADIAMO,LASER DIAMONDS LTD.,Active,P ,10.00,INE995E01015,Other Apparels &amp; Accessories,Equity
531169,SKPSEC,SKP SECURITIES LTD.,Active,XD,10.00,INE709B01016,Finance (including NBFCs),Equity
531172,PRANAVSP,PRANAVADITYA SPINNING MILLS LTD.,Active,XD,10.00,INE569D01028,Textiles,Equity
531173,SYSCHEM,SYSCHEM (INDIA) LTD.,Active,XC,10.00,INE121D01036,Commodity Chemicals,Equity
531175,BLSINFOTE,BLS INFOTECH LTD.,Active,B ,1.00,INE606B01022,IT Software Products,Equity
531176,MEFCOMCAP,MEFCOM CAPITAL MARKETS LTD.,Active,XD,10.00,INE186C01015,Finance (including NBFCs),Equity
531178,HEMANG,Hemang Resources Ltd,Active,XD,10.00,INE930A01010,Comm.Trading  &amp; Distribution,Equity
531179,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,XD,10.00,INE109C01017,Finance (including NBFCs),Equity
531190,TAVERNIER,Tavernier Resources Limi,Active,XD,10.00,INE355H01015,Textiles,Equity
531191,FILTRON,FILTRON ENGINEERS LTD.,Active,XT,10.00,INE589N01017,Comm.Trading  &amp; Distribution,Equity
531196,GAGANPO,GAGAN POLYCOT INDIA LTD.,Active,XT,10.00,INE297L01011,Comm.Trading  &amp; Distribution,Equity
531198,DHANADACO,DHANADA CORPORATION LTD.,Active,XT,1.00,INE041F01015,Hotels,Equity
531199,GLANCE,GLANCE FINANCE LTD.,Active,XD,10.00,INE580D01017,Finance (including NBFCs),Equity
531201,SHILCTECH,SHILCHAR TECHNOLOGIES LTD.,Active,XD,10.00,INE024F01011,Other Elect.Equip./ Prod.,Equity
531203,BRANDREAL,BRAND REALTY SERVICES LTD.,Active,XD,10.00,INE819G01012,Consulting Services,Equity
531205,KANSAFB,KANSAL FIBRES LTD.,Active,P ,10.00,INE179O01015,Comm.Trading  &amp; Distribution,Equity
531206,KWALITYCL,KWALITY CREDIT &amp; LEASING LTD.,Active,XD,10.00,INE577C01015,Finance (including NBFCs),Equity
531207,RAYLA,RAYMED LABS LTD.,Active,XD,10.00,INE741C01017,Pharmaceuticals,Equity
531209,NUCLEUS,NUCLEUS SOFTWARE EXPORTS LTD.,Active,B ,10.00,INE096B01018,IT Software Products,Equity
531210,COLINZ,COLINZ LABORATORIES LTD.,Active,XT,10.00,INE923C01011,Pharmaceuticals,Equity
531211,WELLNESS,WELLNESS NONI LTD.,Active,P ,10.00,INE571H01017,Other Financial Services,Equity
531212,NALINLEA,NALIN LEASE FINANCE LTD.,Active,XD,10.00,INE606C01012,Finance (including NBFCs),Equity
531213,MANAPPURAM,MANAPPURAM FINANCE LTD.,Active,A ,2.00,INE522D01027,Finance (including NBFCs),Equity
531215,RTSPOWR,RTS POWER CORPORATION LTD.,Active,XD,10.00,INE005C01017,Other Elect.Equip./ Prod.,Equity
531216,COMFINTE,COMFORT INTECH LTD.-$,Active,XD,1.00,INE819A01023,Finance (including NBFCs),Equity
531217,WESTE,WESTERN INDIA SHIPYARD LTD.,Active,B ,2.00,INE382C01028,Marine Port &amp; Services,Equity
531219,SHYAMAINFO,SHYAMA INFOSYS LTD.,Active,P ,10.00,INE861E01019,Pharmaceuticals,Equity
531221,MAYURFL,MAYUR FLOORINGS LTD.,Active,P ,10.00,NA          ,Construction Materials,Equity
531223,ANJANI,ANJANI SYNTHETICS LTD.-$,Active,XD,10.00,INE364D01032,Textiles,Equity
531225,FRONTIER,Frontier Informatics Limited,Active,T ,10.00,INE547B01010,IT Software Products,Equity
531227,DECOMIC,DECO-MICA LTD.,Active,P ,10.00,INE907E01010,Commodity Chemicals,Equity
531233,RASIELEC,RASI ELECTRODES LTD.,Active,XD,2.00,INE822D01021,Other Industrial Goods,Equity
531235,CITIPOR,CITIPORT FINANCIAL SERVICES LTD.,Active,XT,10.00,INE494D01011,Finance (including NBFCs),Equity
531236,MEWARPOL,MEWAR POLYTEX LTD.,Active,XT,10.00,INE404E01018,Containers &amp; Packaging,Equity
531237,DHRUVCA,DHRUVA CAPITAL SERVICES LTD.,Active,XD,10.00,INE972E01014,Finance (including NBFCs),Equity
531241,LINCPENQ,LINC PEN &amp; PLASTICS LTD.-$,Active,B ,10.00,INE802B01019,Non-Durable Household Prod.,Equity
531246,PRIMAIN,PRIMA INDUSTRIES LTD.,Active,XT,10.00,INE723N01012,Edible Oils,Equity
531250,RNBIND,RNB INDUSTRIES LTD.,Active,XT,10.00,INE307H01016,Construction &amp; Engineering,Equity
531252,FARRYIND,FARRY INDUSTRIES LTD.,Active,XD,10.00,INE720D01019,Finance (including NBFCs),Equity
531253,INDGELA,INDIA GELATINE &amp; CHEMICALS LTD.-$,Active,XD,10.00,INE342D01012,Specialty Chemicals,Equity
531254,TRANSPEKF,TRANSPEK FINANCE LTD.,Active,XD,10.00,INE031G01014,Finance (including NBFCs),Equity
531255,PARAGONF,PARAGON FINANCE LTD.,Active,XD,10.00,INE015E01012,Finance (including NBFCs),Equity
531257,PRATIKSH,PRATIKSHA CHEMICALS LTD.,Active,XT,10.00,INE530D01012,Specialty Chemicals,Equity
531259,ESHAMEDIA,Esha Media Research Limited,Active,XT,10.00,INE328F01016,Advertising &amp; Media,Equity
531260,YKMIND,YKM INDUSTRIES LTD.,Active,P ,10.00,INE332F01018,Packaged Foods,Equity
531265,PROGRESV,PROGRESSIVE EXTRACTIONS &amp; EXPORTS LTD.,Active,XT,10.00,INE421E01012,Other Food Products,Equity
531266,VSTTILLERS,V.S.T.TILLERS TRACTORS LTD.-$,Active,B ,10.00,INE764D01017,Commercial Vehicles,Equity
531268,B2BSOFT,B2B SOFTWARE TECHNOLOGIES LTD.,Active,XT,10.00,INE151B01011,IT Software Products,Equity
531270,DAZZEL,DAZZEL CONFINDIVE LTD.,Active,XD,1.00,INE149E01027,Construction &amp; Engineering,Equity
531272,NIKKIGL,NIKKI GLOBAL FINANCE LTD.,Active,XD,10.00,INE526C01012,Finance (including NBFCs),Equity
531273,RADHEDE,RADHE DEVELOPERS (INDIA) LTD.,Active,B ,10.00,INE986B01036,Realty,Equity
531274,KINETRU,KINETIC TRUST LTD.,Active,XT,10.00,INE674M01019,Finance (including NBFCs),Equity
531278,ELIXIR,Elixir Capital Ltd,Active,XD,10.00,INE785D01012,Other Financial Services,Equity
531279,TRISHAKT,TRISHAKTI ELECTRONICS &amp; INDUSTRIES LTD.,Active,XD,10.00,INE238C01014,Finance (including NBFCs),Equity
531280,PANKAJPO,PANKAJ POLYMERS LTD.,Active,XD,10.00,INE698B01011,Containers &amp; Packaging,Equity
531281,PGINDST,PG INDUSTRY LTD.,Active,XD,10.00,INE807H01015,Construction Materials,Equity
531283,CINDRELL,CINDRELLA FINANCIAL SERVICES LTD.,Active,XT,10.00,INE897D01015,Finance (including NBFCs),Equity
531287,NATPLASTI,NATIONAL PLASTIC TECHNOLOGIES LTD.,Active,XD,10.00,INE896D01017,Plastic Products,Equity
531288,LEADFIN,LEAD FINANCIAL SERVICES LTD.,Active,XT,10.00,INE531D01010,Finance (including NBFCs),Equity
531289,NATFIT,National Fittings Limited,Active,XD,10.00,INE643C01015,Iron &amp; Steel Products,Equity
531297,ARTEFACT,ARTEFACT PROJECTS LTD.,Active,XD,10.00,INE885B01014,Consulting Services,Equity
531300,AMITINT,AMIT INTERNATIONAL LTD.,Active,XT,10.00,INE053D01015,Textiles,Equity
531301,HIGHSTREE,HIGH STREET FILATEX LTD.,Active,XD,10.00,INE319M01011,Textiles,Equity
531304,NUTECGLOB,NUTECH GLOBAL LTD.,Active,XD,10.00,INE960H01012,Textiles,Equity
531306,DHPIND,DHP INDIA LTD.,Active,XD,10.00,INE590D01016,Industrial Machinery,Equity
531307,SRK,S R K INDUSTRIES LTD.,Active,B ,5.00,INE951M01037,Textiles,Equity
531310,AVAILFC,AVAILABLE FINANCE LTD.,Active,XD,10.00,INE325G01010,Other Financial Services,Equity
531314,INTCAPM,INTEGRA CAPITAL MANAGEMENT LTD.,Active,XT,10.00,INE366H01012,Finance (including NBFCs),Equity
531319,MARUTISE,MARUTI SECURITIES LTD.,Active,XT,10.00,INE368C01019,Finance (including NBFCs),Equity
531323,SANTASPN,SANTARAM SPINNERS LTD.,Active,XD,10.00,INE250D01017,Textiles,Equity
531324,ROSELABS,ROSELABS FINANCE LTD.,Active,XD,10.00,INE475C01012,Other Financial Services,Equity
531327,CHARMS,CHARMS INDUSTRIES LTD.,Active,XD,10.00,INE442C01012,Other Financial Services,Equity
531328,IDEAOPT,IDEAL OPTICS LTD.,Active,P ,10.00,INE128R01015,Healthcare Supplies,Equity
531335,ZYDUSWELL,ZYDUS WELLNESS LTD.-$,Active,B ,10.00,INE768C01010,Packaged Foods,Equity
531336,AUROCOK,AUROMA COKE LTD.,Active,XT,10.00,INE662I01012,Coal,Equity
531337,IRISMEDIA,IRIS MEDIAWORKS LTD.,Active,XT,5.00,INE974C01022,Other Financial Services,Equity
531338,MILESTONE,MILESTONE GLOBAL LTD.,Active,XD,10.00,INE151H01018,Construction Materials,Equity
531339,JAIHINDPRO,JAIHIND PROJECTS LTD.,Active,B ,10.00,INE343D01010,Construction &amp; Engineering,Equity
531340,BERVINL,BERVIN INVESTMENT &amp; LEASING LTD.,Active,XT,10.00,INE348I01018,Other Financial Services,Equity
531341,GUJINV,GUJARAT INVESTA LTD.,Active,XD,10.00,INE373D01017,Finance (including NBFCs),Equity
531343,INDINFRA,INDIA INFRASPACE LTD.,Active,B ,10.00,INE954M01023,Misc.Commercial Services,Equity
531344,CONCOR,CONTAINER CORPORATION OF INDIA LTD.,Active,A ,10.00,INE111A01017,Transport Related Services,Equity
531346,EASTRED,EASTERN TREADS LTD.,Active,XD,10.00,INE500D01015,Auto Tyres &amp; Rubber Products,Equity
531349,PANACEABIO,PANACEA BIOTEC LTD.,Active,B ,1.00,INE922B01023,Biotechnology,Equity
531352,PEETISEC,PEETI SECURITIES LTD.,Active,XT,10.00,INE328D01011,Textiles,Equity
531358,CHOICEIN,CHOICE INTERNATIONAL LTD.,Active,XD,10.00,INE102B01014,Finance (including NBFCs),Equity
531359,SRAMSET,SHRIRAM ASSET MANAGEMENT CO.LTD.,Active,XT,10.00,INE777G01012,Other Financial Services,Equity
531360,GOLECHA,GOLECHHA GLOBAL FINANCE LTD.,Active,XT,10.00,INE427D01011,Misc.Commercial Services,Equity
531363,KARURKCP,KARUR K.C.P.PACKKAGINGS LTD.,Active,XD,10.00,INE727F01019,Containers &amp; Packaging,Equity
531364,AQUAPIV,Aqua Pumps Infra Ventures Limited,Active,XD,10.00,INE005E01013,Construction &amp; Engineering,Equity
531367,DOLLEX,DOLLEX INDUSTRIES LTD.,Active,XD,5.00,INE892A01020,Sugar,Equity
531370,SPARCSYS,SPARC SYSTEMS LTD.,Active,XT,10.00,INE960B01015,IT Consulting &amp; Software,Equity
531373,THEBYKE,THE BYKE HOSPITALITY LTD.,Active,B ,10.00,INE319B01014,Hotels,Equity
531380,CSURGSU,CENTENIAL SURGICAL SUTURE LTD.,Active,XT,10.00,INE405H01018,Medical Equipment,Equity
531381,ARIHANT,ARIHANT FOUNDATIONS &amp; HOUSING LTD.-$,Active,B ,10.00,INE413D01011,Realty,Equity
531382,JAVNTPR,JAYAVANT PRODUCTS LTD.,Active,XT,10.00,INE364H01017,Plastic Products,Equity
531387,HASTIFIN,HASTI FINANCE LTD.,Active,XD,10.00,INE671D01014,Finance (including NBFCs),Equity
531390,UPSURGE,UPSURGE INVESTMENT &amp; FINANCE LTD.,Active,XT,10.00,INE890B01014,Finance (including NBFCs),Equity
531392,ASFLORA,ASIAN FLORA LTD.,Active,P ,10.00,NA          ,Other Agricultural Products,Equity
531395,PADAMCO,PADAM COTTON YARNS LTD.,Active,XT,10.00,INE448D01017,Textiles,Equity
531396,WOMENNET,WOMEN NETWORKS LTD.,Active,XT,10.00,INE905B01010,IT Software Products,Equity
531397,POLYCON,POLYCON INTERNATIONAL LTD.,Active,XD,10.00,INE262C01014,Containers &amp; Packaging,Equity
531398,SOURCENTRL,SOURCE NATURAL FOODS &amp; HERBAL SUPPL LTD.,Active,XT,10.00,INE679C01027,Pharmaceuticals,Equity
531400,ALMONDZ,ALMONDZ GLOBAL SECURITIES LTD.,Active,B ,6.00,INE326B01027,Other Financial Services,Equity
531402,LWSKNIT,LWS KNITWEAR LTD.,Active,XT,10.00,INE281M01013,Comm.Trading  &amp; Distribution,Equity
531404,ZICOM,ZICOM ELECTRONIC SECURITY SYSTEMS LTD.-$,Active,B ,10.00,INE871B01014,Electronic Components,Equity
531406,ANSINDUS,ANS Industries Ltd,Active,XT,10.00,INE234J01018,Non-alcoholic Beverages,Equity
531409,ALCHCORP,ALCHEMIST CORPORATION LTD.,Active,XD,10.00,INE057D01016,Commodity Chemicals,Equity
531410,GUJFOIL,GUJARAT FOILS LTD.,Active,XD,10.00,INE587F01017,Aluminium,Equity
531411,TUNITEX,TUNI TEXTILE MILLS LTD.,Active,XD,1.00,INE560D01027,Textiles,Equity
531412,RADIXIND,Radix Industries (India) Limited,Active,XD,10.00,INE576N01014,Personal Products,Equity
531413,KIRANPR,KIRAN PRINT-PACK LTD.,Active,XD,10.00,INE516D01011,Comm.Printing/Stationery,Equity
531416,NARPROP,NARENDRA PROPERTIES LTD.,Active,XD,10.00,INE603F01012,Realty,Equity
531417,MEGACOR,MEGA CORPORATION LTD.,Active,XT,1.00,INE804B01023,IT Consulting &amp; Software,Equity
531420,BMBMUMG,BMB MUSIC &amp; MAGNETICS LTD.,Active,XT,10.00,INE644K01016,Movies &amp; Entertainment,Equity
531426,TNPL,TAMIL NADU NEWSPRINT &amp; PAPERS LTD.,Active,B ,10.00,INE107A01015,Paper &amp; Paper Products,Equity
531429,ADVENT,ADVENT COMPUTER SERVICES LTD.,Active,XD,10.00,INE101C01022,IT Software Products,Equity
531431,SHAKTIPUMP,SHAKTI PUMPS (INDIA) LTD.-$,Active,B ,10.00,INE908D01010,Industrial Machinery,Equity
531432,SYTIXSE,SYSTEMATIX SECURITIES LTD.,Active,P ,10.00,NA          ,Finance (including NBFCs),Equity
531433,SUNGOLD,SUNGOLD CAPITAL LTD.,Active,XD,10.00,INE271D01013,Finance (including NBFCs),Equity
531436,SAFFRON,Saffron Industries Limited,Active,XT,10.00,INE474D01013,Paper &amp; Paper Products,Equity
531437,PWASML,Prakash Woollen &amp; Synthetic Mills Ltd,Active,XD,10.00,INE523I01016,Textiles,Equity
531439,GOLDTECH,GOLDSTONE TECHNOLOGIES LTD.,Active,B ,10.00,INE805A01014,IT Consulting &amp; Software,Equity
531444,VARDHMAN,Vardhman Concrete Limited,Active,XT,10.00,INE115C01014,Cement &amp; Cement Products,Equity
531447,ROCKONENT,Rockon Enterprises Ltd,Active,XD,10.00,INE644B01049,Comm.Trading  &amp; Distribution,Equity
531448,SAFALSEC,Safal Securities Ltd,Active,XD,5.00,INE101L01023,Misc.Commercial Services,Equity
531449,GRMOVER,GRM OVERSEAS LTD.,Active,XD,10.00,INE192H01012,Other Agricultural Products,Equity
531452,NCCFIN,NCC FINANCE LTD.,Active,XD,10.00,INE768B01012,Finance (including NBFCs),Equity
531453,MOHITIND,MOHIT INDUSTRIES LTD.-$,Active,B ,10.00,INE954E01012,Textiles,Equity
531454,POLYLINK,POLYLINK POLYMERS (INDIA) LTD.,Active,XT,5.00,INE323D01020,Fibres &amp; Plastics,Equity
531456,MINAXI,MINAXI TEXTILES LTD.,Active,XD,1.00,INE952C01028,Textiles,Equity
531460,CONTICON,CONTINENTAL CONTROLS LTD.,Active,XT,10.00,INE545B01022,Other Elect.Equip./ Prod.,Equity
531463,GBLINFRA,Global Infratech &amp; Finance limited,Active,XT,1.00,INE377M01027,Misc.Commercial Services,Equity
531465,NOUVEAU,NOUVEAU GLOBAL VENTURES LTD.,Active,XD,10.00,INE317B01034,Comm.Trading  &amp; Distribution,Equity
531467,ARNAVCORP,ARNAV CORPORATION LTD.,Active,XD,10.00,INE647D01014,Publishing,Equity
531471,DUKEOFS,DUKE OFFSHORE LTD.,Active,XD,10.00,INE397G01019,Oil Equipment &amp; Services,Equity
531472,CYBELEIND,CYBELE INDUSTRIES LTD.,Active,XT,10.00,INE183D01010,Other Elect.Equip./ Prod.,Equity
531479,GLOBAL,GLOBAL LAND MASTERS CORPORATION LTD.,Active,XT,10.00,INE330B01011,Realty,Equity
531486,FILME,FILMCITY MEDIA LTD.,Active,B ,1.00,INE600B01033,Movies &amp; Entertainment,Equity
531489,CGVAK,CG-VAK SOFTWARE &amp; EXPORTS LTD.,Active,XD,10.00,INE084D01010,IT Software Products,Equity
531494,NAVBLDR,NAVKAR BUILDERS LTD.,Active,XD,10.00,INE268H01010,Realty,Equity
531495,BLUECOAST,BLUE COAST HOTELS LTD.,Active,B ,10.00,INE472B01011,Hotels,Equity
531496,OMKAR,OMKAR OVERSEAS LTD.,Active,XD,10.00,INE680D01015,Textiles,Equity
531497,MADHUCON,MADHUCON PROJECTS LTD.-$,Active,B ,1.00,INE378D01032,Construction &amp; Engineering,Equity
531499,SYBLY,SYBLY INDUSTRIES LTD.-$,Active,XD,10.00,INE080D01034,Textiles,Equity
531500,RAJESHEXPO,RAJESH EXPORTS LTD.,Active,A ,1.00,INE343B01030,Other Apparels &amp; Accessories,Equity
531502,ESARIND,ESAAR (INDIA) LTD.,Active,XD,1.00,INE404L01021,Misc.Commercial Services,Equity
531505,INDERGR,INDERGIRI FINANCE LTD.,Active,XD,10.00,INE628F01019,Finance (including NBFCs),Equity
531506,SKRABUL,SHUKRA BULLIONS LTD.,Active,XD,10.00,INE561E01015,Misc.Commercial Services,Equity
531508,EVEREADY,EVEREADY INDUSTRIES INDIA LTD.,Active,B ,5.00,INE128A01029,Non-Durable Household Prod.,Equity
531509,STEP2COR,STEP TWO CORPORATION LTD.,Active,XT,10.00,INE623D01015,Other Financial Services,Equity
531515,MAHANIN,MAHAN INDUSTRIES LTD.,Active,XD,10.00,INE735D01033,Comm.Trading  &amp; Distribution,Equity
531518,VIKASGRAN,VIKAS GRANARIES LTD.,Active,XD,10.00,INE767B01014,Other Agricultural Products,Equity
531519,ANKUSHFI,ANKUSH FINSTOCK LTD.,Active,XD,10.00,INE784D01015,Other Financial Services,Equity
531521,DESHRAK,DESH RAKSHAK AUSHDHALAYA LTD.,Active,P ,10.00,INE971E01016,Pharmaceuticals,Equity
531522,RASOYPR,RASOYA PROTEINS LTD.,Active,B ,1.00,INE904G01038,Edible Oils,Equity
531524,ICSA,ICSA (INDIA) LTD.-$,Active,B ,2.00,INE306B01029,Other Elect.Equip./ Prod.,Equity
531525,ACESOFT,ACE SOFTWARE EXPORTS LTD.-$,Active,XD,10.00,INE849B01010,IT Software Products,Equity
